Country,Date,District,Confirmed,Confirmed-total,Deaths,Deaths-total,Recovered,Recovered-total,Imported,Local,New Arrival-T,Cumulative high-risk traveller,Contacts on Follow-up,Contacts discharged,Samples Recieved,Total Tested,Positive,Negative,Average Tests,Age group,Male,Female,Unknown,Local Transmission,Imported
Malawi,15 July 2020,Balaka,1,34,0,1,0,12,31,3,,,,,,,,,,,,,,,
Malawi,15 July 2020,Blantyre,25,693,0,14,16,101,115,578,,,,,,,,,,,,,,,
Malawi,15 July 2020,Chikwawa,0,19,0,0,0,16,16,3,,,,,,,,,,,,,,,
Malawi,15 July 2020,Chiradzulu,1,13,0,0,0,9,12,1,,,,,,,,,,,,,,,
Malawi,15 July 2020,Chitipa,0,41,0,1,0,35,4,37,,,,,,,,,,,,,,,
Malawi,15 July 2020,Dedza,0,22,0,0,2,13,20,2,,,,,,,,,,,,,,,
Malawi,15 July 2020,Dowa,5,43,1,1,0,4,17,26,,,,,,,,,,,,,,,
Malawi,15 July 2020,Karonga,0,26,0,1,0,0,11,15,,,,,,,,,,,,,,,
Malawi,15 July 2020,Kasungu,0,25,0,1,0,5,13,12,,,,,,,,,,,,,,,
Malawi,15 July 2020,Lilongwe,36,504,0,10,188,275,83,421,,,,,,,,,,,,,,,
Malawi,15 July 2020,Machinga,2,46,0,0,0,26,46,0,,,,,,,,,,,,,,,
Malawi,15 July 2020,Mangochi,4,94,0,0,0,36,74,20,,,,,,,,,,,,,,,
Malawi,15 July 2020,Mchinji,1,43,1,5,2,9,5,38,,,,,,,,,,,,,,,
Malawi,15 July 2020,Mulanje,0,18,0,1,0,9,8,10,,,,,,,,,,,,,,,
Malawi,15 July 2020,Mwanza,1,23,0,0,0,1,13,10,,,,,,,,,,,,,,,
Malawi,15 July 2020,Mwanza PoE,2,172,0,0,0,167,172,0,,,,,,,,,,,,,,,
Malawi,15 July 2020,Mzimba North,10,365,0,5,0,150,11,354,,,,,,,,,,,,,,,
Malawi,15 July 2020,Mzimba South,9,91,0,0,0,18,28,63,,,,,,,,,,,,,,,
Malawi,15 July 2020,Neno,5,26,0,0,0,2,2,24,,,,,,,,,,,,,,,
