Date,District,Confirmed,Confirmed-total
07/15/2020,Balaka,1,34
07/15/2020,Blantyre,25,693
07/15/2020,Chikwawa,0,19
07/15/2020,Chiradzulu,1,13
07/15/2020,Chitipa,0,41
07/15/2020,Dedza,0,22
07/15/2020,Dowa,5,43
07/15/2020,Karonga,0,26
07/15/2020,Kasungu,0,25
07/15/2020,Lilongwe,36,504
07/15/2020,Machinga,2,46
07/15/2020,Mangochi,4,94
07/15/2020,Mchinji,1,43
07/15/2020,Mulanje,0,18
07/15/2020,Mwanza,1,23
07/15/2020,Mwanza PoE,2,172
07/15/2020,Mzimba North,10,365
07/15/2020,Mzimba South,9,91
07/15/2020,Neno,5,26
07/15/2020,Nkhata Bay,7,80
07/15/2020,Nkhotakota,3,30
07/15/2020,Nsanje,2,31
07/15/2020,Ntcheu,0,27
07/15/2020,Phalombe,1,8
07/15/2020,Rumphi,1,20
07/15/2020,Salima,0,21
07/15/2020,Thyolo,0,45
07/15/2020,Zomba,1,54
07/16/2020,Balaka,0,34
07/16/2020,Blantyre,27,720
07/16/2020,Chikwawa,0,19
07/16/2020,Chiradzulu,0,13
07/16/2020,Chitipa,2,43
07/16/2020,Dedza,0,22
07/16/2020,Dowa,3,44
07/16/2020,Karonga,3,29
07/16/2020,Kasungu,0,25
07/16/2020,Lilongwe,27,531
07/16/2020,Machinga,0,41
07/16/2020,Mangochi,3,97
07/16/2020,Mchinji,0,43
07/16/2020,Mulanje,4,22
07/16/2020,Mwanza,1,24
07/16/2020,Mwanza PoE,1,172
07/16/2020,Mzimba North,22,387
07/16/2020,Mzimba South,4,95
07/16/2020,Neno,2,28
07/16/2020,Nkhata Bay,0,80
07/16/2020,Nkhotakota,0,30
07/16/2020,Nsanje,0,31
07/16/2020,Ntcheu,2,36
07/16/2020,Phalombe,0,8
07/16/2020,Rumphi,0,20
07/16/2020,Salima,0,21
07/16/2020,Thyolo,0,45
07/16/2020,Zomba,2,56
07/17/2020,Balaka,0,34
07/17/2020,Blantyre,53,773
07/17/2020,Chikwawa,0,19
07/17/2020,Chiradzulu,0,13
07/17/2020,Chitipa,0,43
07/17/2020,Dedza,0,22
07/17/2020,Dowa,3,47
07/17/2020,Karonga,1,30
07/17/2020,Kasungu,1,26
07/17/2020,Lilongwe,16,547
07/17/2020,Machinga,1,42
07/17/2020,Mangochi,2,99
07/17/2020,Mchinji,0,43
07/17/2020,Mulanje,0,23
07/17/2020,Mwanza,0,24
07/17/2020,Mwanza PoE,0,173
07/17/2020,Mzimba North,3,390
07/17/2020,Mzimba South,0,95
07/17/2020,Neno,4,32
07/17/2020,Nkhata Bay,0,80
07/17/2020,Nkhotakota,0,30
07/17/2020,Nsanje,0,30
07/17/2020,Ntcheu,0,36
07/17/2020,Phalombe,1,9
07/17/2020,Rumphi,2,22
07/17/2020,Salima,0,21
07/17/2020,Thyolo,0,45
07/17/2020,Zomba,6,62
07/18/2020,Balaka,0,34
07/18/2020,Blantyre,35,808
07/18/2020,Chikwawa,0,19
07/18/2020,Chiradzulu,0,13
07/18/2020,Chitipa,0,43
07/18/2020,Dedza,1,23
07/18/2020,Dowa,2,49
07/18/2020,Karonga,1,31
07/18/2020,Kasungu,3,29
07/18/2020,Likoma,1,1
07/18/2020,Lilongwe,24,571
07/18/2020,Machinga,0,42
07/18/2020,Mangochi,2,101
07/18/2020,Mchinji,1,44
07/18/2020,Mulanje,1,24
07/18/2020,Mwanza,2,26
07/18/2020,Mwanza PoE,0,173
07/18/2020,Mzimba North,16,406
07/18/2020,Mzimba South,0,95
07/18/2020,Neno,1,33
07/18/2020,Nkhata Bay,5,85
07/18/2020,Nkhotakota,0,30
07/18/2020,Nsanje,0,30
07/18/2020,Ntcheu,0,36
07/18/2020,Phalombe,0,9
07/18/2020,Rumphi,0,22
07/18/2020,Salima,0,21
07/18/2020,Thyolo,0,45
07/18/2020,Zomba,2,64
07/19/2020,Balaka,2,36
07/19/2020,Blantyre,32,840
07/19/2020,Chikwawa,0,19
07/19/2020,Chiradzulu,0,13
07/19/2020,Chitipa,0,43
07/19/2020,Dedza,3,26
07/19/2020,Dowa,0,49
07/19/2020,Karonga,1,32
07/19/2020,Kasungu,2,30
07/19/2020,Likoma,0,1
07/19/2020,Lilongwe,6,577
07/19/2020,Machinga,2,44
07/19/2020,Mangochi,7,108
07/19/2020,Mchinji,0,44
07/19/2020,Mulanje,2,26
07/19/2020,Mwanza,0,26
07/19/2020,Mwanza PoE,0,173
07/19/2020,Mzimba North,9,415
07/19/2020,Mzimba South,0,95
07/19/2020,Neno,0,33
07/19/2020,Nkhata Bay,4,89
07/19/2020,Nkhotakota,2,32
07/19/2020,Nsanje,1,31
07/19/2020,Ntcheu,1,37
07/19/2020,Ntchisi,0,1
07/19/2020,Phalombe,0,9
07/19/2020,Rumphi,0,22
07/19/2020,Salima,2,23
07/19/2020,Thyolo,1,46
07/19/2020,Zomba,8,72
07/20/2020,Balaka,1,37
07/20/2020,Blantyre,24,864
07/20/2020,Chikwawa,1,20
07/20/2020,Chiradzulu,0,13
07/20/2020,Chitipa,0,43
07/20/2020,Dedza,0,26
07/20/2020,Dowa,0,49
07/20/2020,Karonga,2,34
07/20/2020,Kasungu,0,30
07/20/2020,Likoma,0,1
07/20/2020,Lilongwe,4,581
07/20/2020,Machinga,0,44
07/20/2020,Mangochi,3,111
07/20/2020,Mchinji,1,45
07/20/2020,Mulanje,0,26
07/20/2020,Mwanza,2,28
07/20/2020,Mwanza PoE,0,173
07/20/2020,Mzimba North,1,416
07/20/2020,Mzimba South,4,99
07/20/2020,Neno,4,37
07/20/2020,Nkhata Bay,1,90
07/20/2020,Nkhotakota,0,32
07/20/2020,Nsanje,0,31
07/20/2020,Ntcheu,0,37
07/20/2020,Ntchisi,0,1
07/20/2020,Phalombe,0,9
07/20/2020,Rumphi,2,24
07/20/2020,Salima,0,23
07/20/2020,Thyolo,0,46
07/20/2020,Zomba,3,75
07/21/2020,Balaka,0,37
07/21/2020,Blantyre,18,882
07/21/2020,Chikwawa,0,20
07/21/2020,Chiradzulu,1,14
07/21/2020,Chitipa,0,43
07/21/2020,Dedza,0,26
07/21/2020,Dowa,2,51
07/21/2020,Karonga,1,35
07/21/2020,Kasungu,2,32
07/21/2020,Likoma,0,1
07/21/2020,Lilongwe,61,642
07/21/2020,Machinga,0,44
07/21/2020,Mangochi,0,111
07/21/2020,Mchinji,1,46
07/21/2020,Mulanje,4,30
07/21/2020,Mwanza,0,28
07/21/2020,Mwanza PoE,0,173
07/21/2020,Mzimba North,5,421
07/21/2020,Mzimba South,0,99
07/21/2020,Neno,2,39
07/21/2020,Nkhata Bay,3,93
07/21/2020,Nkhotakota,0,32
07/21/2020,Nsanje,0,31
07/21/2020,Ntcheu,0,37
07/21/2020,Ntchisi,0,1
07/21/2020,Phalombe,0,9
07/21/2020,Rumphi,1,25
07/21/2020,Salima,0,23
07/21/2020,Thyolo,0,46
07/21/2020,Zomba,3,78
07/22/2020,Balaka,0,37
07/22/2020,Blantyre,84,966
07/22/2020,Chikwawa,0,20
07/22/2020,Chiradzulu,2,16
07/22/2020,Chitipa,1,44
07/22/2020,Dedza,0,26
07/22/2020,Dowa,6,57
07/22/2020,Karonga,0,35
07/22/2020,Kasungu,4,36
07/22/2020,Likoma,1,2
07/22/2020,Lilongwe,16,658
07/22/2020,Machinga,0,44
07/22/2020,Mangochi,0,111
07/22/2020,Mchinji,0,46
07/22/2020,Mulanje,0,30
07/22/2020,Mwanza,0,28
07/22/2020,Mwanza PoE,0,173
07/22/2020,Mzimba North,0,99
07/22/2020,Mzimba South,24,445
07/22/2020,Neno,1,40
07/22/2020,Nkhata Bay,14,107
07/22/2020,Nkhotakota,0,32
07/22/2020,Nsanje,0,31
07/22/2020,Ntcheu,0,37
07/22/2020,Ntchisi,0,1
07/22/2020,Phalombe,0,9
07/22/2020,Rumphi,0,25
07/22/2020,Salima,0,23
07/22/2020,Thyolo,0,46
07/22/2020,Zomba,0,78
07/23/2020,Balaka,1,38
07/23/2020,Blantyre,25,991
07/23/2020,Chikwawa,0,20
07/23/2020,Chiradzulu,1,17
07/23/2020,Chitipa,2,46
07/23/2020,Dedza,0,26
07/23/2020,Dowa,3,60
07/23/2020,Karonga,4,39
07/23/2020,Kasungu,1,37
07/23/2020,Likoma,0,2
07/23/2020,Lilongwe,22,680
07/23/2020,Machinga,1,45
07/23/2020,Mangochi,1,112
07/23/2020,Mchinji,1,47
07/23/2020,Mulanje,0,30
07/23/2020,Mwanza,0,28
07/23/2020,Mwanza PoE,0,173
07/23/2020,Mzimba South,1,446
07/23/2020,Mzimba South,1,100
07/23/2020,Neno,0,40
07/23/2020,Nkhata Bay,11,118
07/23/2020,Nkhotakota,0,32
07/23/2020,Nsanje,2,33
07/23/2020,Ntcheu,0,37
07/23/2020,Ntchisi,0,1
07/23/2020,Phalombe,0,9
07/23/2020,Rumphi,1,26
07/23/2020,Salima,0,23
07/23/2020,Thyolo,0,46
07/23/2020,Zomba,6,84
07/24/2020,Balaka,0,38
07/24/2020,Blantyre,28,1021
